7/28/2012 1:55:07 PM:, Error from GetEntityDepencies (FillChildEntities): Parent:Course; ChildName:Student
7/28/2012 1:55:11 PM:, Error from GetEntityDepencies (FillChildEntities): Parent:Course; ChildName:Student
7/28/2012 1:55:19 PM:, Error from GetEntityDepencies (FillChildEntities): Parent:Course; ChildName:Student
7/28/2012 1:57:47 PM:, Error from GetEntityDepencies (FillChildEntities): Parent:Course; ChildName:Student
7/28/2012 1:58:24 PM:, Error from GetEntityDepencies (FillChildEntities): Parent:Course; ChildName:Student
7/28/2012 2:05:31 PM:, Error from GetEntityDepencies (FillChildEntities): Parent:Course; ChildName:Student
7/28/2012 2:26:47 PM:, Error from GetEntityDepencies (FillChildEntities): Parent:Course; ChildName:Student
8/1/2012 3:56:28 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 3:56:37 PM:, Error from GetEntityDepencies (FillChildEntities): Parent:Department; ChildName:Nothing
8/1/2012 3:56:39 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 3:56:40 PM:, Error from GetEntityDepencies (FillChildEntities): Parent:Department; ChildName:Nothing
8/1/2012 3:56:42 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 3:56:42 PM:, Error from GetEntityDepencies (FillChildEntities): Parent:Department; ChildName:Nothing
8/1/2012 3:56:43 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 3:56:43 PM:, Error from GetEntityDepencies (FillChildEntities): Parent:Department; ChildName:Nothing
8/1/2012 3:56:44 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 3:56:44 PM:, Error from GetEntityDepencies (FillChildEntities): Parent:Department; ChildName:Nothing
8/1/2012 3:56:45 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 3:56:45 PM:, Error from GetEntityDepencies (FillChildEntities): Parent:Department; ChildName:Nothing
8/1/2012 3:56:45 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 3:56:45 PM:, Error from GetEntityDepencies (FillChildEntities): Parent:Department; ChildName:Nothing
8/1/2012 3:56:46 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 3:56:46 PM:, Error from GetEntityDepencies (FillChildEntities): Parent:Department; ChildName:Nothing
8/1/2012 3:57:02 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 3:57:03 PM:, Error from GetEntityDepencies (FillChildEntities): Parent:Department; ChildName:Nothing
8/1/2012 3:57:03 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 3:57:04 PM:, Error from GetEntityDepencies (FillChildEntities): Parent:Department; ChildName:Nothing
8/1/2012 3:57:06 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 3:57:07 PM:, Error from GetEntityDepencies (FillChildEntities): Parent:Department; ChildName:Nothing
8/1/2012 3:57:08 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 3:57:09 PM:, Error from GetEntityDepencies (FillChildEntities): Parent:Department; ChildName:Nothing
8/1/2012 3:57:27 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 3:57:29 PM:, Error from GetEntityDepencies (FillChildEntities): Parent:Department; ChildName:Nothing
8/1/2012 3:57:30 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 3:57:30 PM:, Error from GetEntityDepencies (FillChildEntities): Parent:Department; ChildName:Nothing
8/1/2012 4:10:43 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:10:43 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:10:43 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:10:43 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:10:43 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:10:43 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:10:43 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:10:43 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:10:46 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:10:46 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:10:46 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:10:46 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:10:46 PM:, Error: CreateObjectFromString does not seem to contain the case for 
8/1/2012 4:10:46 PM:, Error: CreateObjectFromString does not seem to contain the case for 
